unit_id,parent_id,teryt_id,name,level,kind
030210302034,030210302033,0202034,Pieszyce,6,4
030210302041,030210302000,0202041,Piława Górna,6,1
030210302074,030210302073,0202074,Niemcza,6,4
030210308011,030210308000,0208011,Duszniki-Zdrój,6,1
030210308021,030210308000,0208021,Kłodzko,6,1
030210308031,030210308000,0208031,Kudowa-Zdrój,6,1
030210308041,030210308000,0208041,Nowa Ruda,6,1
030210308051,030210308000,0208051,Polanica-Zdrój,6,1
030210308064,030210308063,0208064,Bystrzyca Kłodzka,6,4
030210308084,030210308083,0208084,Lądek-Zdrój,6,4
030210308104,030210308103,0208104,Międzylesie,6,4
030210308124,030210308123,0208124,Radków,6,4
030210308134,030210308133,0208134,Stronie Śląskie,6,4
030210308144,030210308143,0208144,Szczytna,6,4
030210319011,030210319000,0219011,Świdnica,6,1
030210319021,030210319000,0219021,Świebodzice,6,1
030210319044,030210319043,0219044,Jaworzyna Śląska,6,4
030210319064,030210319063,0219064,Strzegom,6,4
030210319084,030210319083,0219084,Żarów,6,4
030210321011,030210321000,0221011,Boguszów-Gorce,6,1
030210321021,030210321000,0221021,Jedlina-Zdrój,6,1
030210321031,030210321000,0221031,Szczawno-Zdrój,6,1
030210321054,030210321053,0221054,Głuszyca,6,4
030210321064,030210321063,0221064,Mieroszów,6,4
030210321091,030210321000,0221091,Wałbrzych,6,1
030210324014,030210324013,0224014,Bardo,6,4
030210324034,030210324033,0224034,Kamieniec Ząbkowicki,6,4
030210324054,030210324053,0224054,Ząbkowice Śląskie,6,4
030210324064,030210324063,0224064,Ziębice,6,4
030210324074,030210324073,0224074,Złoty Stok,6,4
030210363011,030210363000,0263011,Wałbrzych,6,1
030210365011,030210365000,0265011,Wałbrzych,6,1
030210413034,030210413033,0213034,Milicz,6,4
030210414011,030210414000,0214011,Oleśnica,6,1
030210414024,030210414023,0214024,Bierutów,6,4
030210414054,030210414053,0214054,Międzybórz,6,4
030210414074,030210414073,0214074,Syców,6,4
030210414084,030210414083,0214084,Twardogóra,6,4
030210415011,030210415000,0215011,Oława,6,1
030210415034,030210415033,0215034,Jelcz-Laskowice,6,4
030210417044,030210417043,0217044,Strzelin,6,4
030210417054,030210417053,0217054,Wiązów,6,4
030210418044,030210418043,0218044,Środa Śląska,6,4
030210420014,030210420013,0220014,Oborniki Śląskie,6,4
030210420024,030210420023,0220024,Prusice,6,4
030210420034,030210420033,0220034,Trzebnica,6,4
030210420064,030210420063,0220064,Żmigród,6,4
030210422014,030210422013,0222014,Brzeg Dolny,6,4
030210422034,030210422033,0222034,Wołów,6,4
030210423044,030210423043,0223044,Kąty Wrocławskie,6,4
030210423074,030210423073,0223074,Sobótka,6,4
030210423084,030210423083,0223084,Siechnice,6,4
030210564011,030210564000,0264011,Wrocław,6,1
031613101011,031613101000,1601011,Brzeg,6,1
031613101034,031613101033,1601034,Grodków,6,4
031613101044,031613101043,1601044,Lewin Brzeski,6,4
031613102014,031613102013,1602014,Baborów,6,4
031613102034,031613102033,1602034,Głubczyce,6,4
031613102044,031613102043,1602044,Kietrz,6,4
031613106024,031613106023,1606024,Namysłów,6,4
031613107014,031613107013,1607014,Głuchołazy,6,4
